Screen Name,Follower Count,Total Tweets,Type
Ccolaccola,521,471,Expert
WUSeniors2017,51,2,Layman
WU_DAC,156,39,Expert
ldinstl_chimera,2359,13556,Celebrity
UniversityCity,1675,2414,Celebrity
TammieHolland,11539,24905,Celebrity
IlliniAD,32991,2080,Celebrity
CityFacesSTL,128,158,Expert
MsPackyetti,216078,93048,Celebrity
Gail_WU,73,159,Layman
WashUVintage,28,12,Layman
SteveCase,746017,54925,Celebrity
doescience,17983,8288,Celebrity
WaymanCrow,45,250,Layman
perlberg,20710,3612,Celebrity
WGEWalri,55,130,Layman
gpc_wustl,325,368,Expert
WashU_Habif,441,939,Expert
HMilkFoundation,15263,18317,Celebrity
FilmEssaying,1620,142833,Celebrity
UnitedProvision,1761,934,Celebrity
stlouisearthday,5506,6994,Celebrity
dormify,7319,15000,Celebrity
American_Stroke,17548,8839,Celebrity
satispy,3649,18371,Celebrity
2Uinc,8487,8693,Celebrity
betaboxlearning,1237,1258,Celebrity
drhipp,1880,6007,Celebrity
DOTwustl,53,16,Layman
WUSTLRocketClub,19,1,Layman
rhodes_trust,6594,7003,Celebrity
townandstyle,4152,4513,Celebrity
NIH,915279,12017,Celebrity
ShalomHouseSTL,298,555,Expert
EliotGators,22,12,Layman
UCampusWustl,351,3,Expert
iitbombay,61987,962,Celebrity
feastmag,52659,31329,Celebrity
Tony_Balsamo,177,794,Expert
wustlOUTgrads,74,48,Layman
Schoology,34512,23594,Celebrity
SlingHealthSTL,748,559,Expert
nehaha_nair,153,333,Expert
davidu,22222,8833,Celebrity
physorg_com,734506,113457,Celebrity
ConnectMinds,7596,7323,Celebrity
laurameckler,11233,3231,Celebrity
DB_Dowd,671,2047,Expert
NSF,1154479,20711,Celebrity
Schultz44,21147,10328,Celebrity
frugalgeo,485,2010,Expert
johnfortner,634,568,Expert
NYCWUSTL,136,739,Expert
FuturityNews,19888,22848,Celebrity
davidhunn,8112,7296,Celebrity
PARCwustl,81,397,Layman
KavliFoundation,9164,6227,Celebrity
CrustyMucus,787,22452,Expert
FoxPACF,962,4281,Expert
thejessjiang,1038,432,Celebrity
PfPSTL,1919,4001,Celebrity
NewAmerica,47076,34929,Celebrity
thinkbigKC,17006,18686,Celebrity
RomeAlexander1,65021,5921,Celebrity
jrobmartin,876,2747,Expert
EPAregion7,3793,5863,Celebrity
1904worldsfair,216,1108,Expert
campuskitchens,6305,24461,Celebrity
JohnInazu,3110,1898,Celebrity
NicolasGrenier,10403,104,Celebrity
AstroBehnken,54808,628,Celebrity
ryanmartin,6596,17847,Celebrity
skmcginn,220,157,Expert
chrisfreeland,1531,6384,Celebrity
lamerrifield,361,11198,Expert
WUSM_BMB,160,634,Expert
sorope,2259,21259,Celebrity
czuppons,2310,9668,Celebrity
ThePigskinArch,2385,48589,Celebrity
BrittaneyBethea,388,1190,Expert
MackBradley,1707,18820,Celebrity
TonyLaRussa,68423,2411,Celebrity
venture4america,17069,7814,Celebrity
STLGlobalKids,1033,3089,Celebrity
jolijtt,402,944,Expert
WASHUSoftball,572,864,Expert
RACStLouis,10057,2770,Celebrity
downtownstlouis,73855,13122,Celebrity
FOCUSstl,13350,8840,Celebrity
STLonAir,16181,31107,Celebrity
ALIVE_Mag,38816,20499,Celebrity
umsl,8068,10708,Celebrity
TheMuslimGuy,60510,10844,Celebrity
STLMetro,17646,27505,Celebrity
GayleGeren,744,6568,Expert
WUSTLCompliment,43,1,Layman
HEC_TV,2235,4688,Celebrity
Peking_Uni,2616,604,Celebrity
madeforfreedom,2178,7326,Celebrity
SH101atWUSTL,81,862,Layman
dondroo,377,21991,Expert
SchulerScholar,801,2949,Expert
americanacad,8857,5517,Celebrity
pkollipara,1470,6826,Celebrity
golakers22,461,8378,Expert
_amita_,4277,3416,Celebrity
humgeek,449,4839,Expert
NOVISNYC,728,2192,Expert
_rachelhartman,3753,24723,Celebrity
HHayesPACS,454,1222,Expert
BetsyHCohen,3459,17853,Celebrity
TheDelmarLoop,25634,9409,Celebrity
wustlpremed,147,201,Expert
neilwashupa,297,507,Expert
WUProSPER,80,21,Layman
OlinPartners,26,47,Layman
RealTimeSTL,1764,1964,Celebrity
JulieHao,18,19,Layman
Corcoran314,174,14,Expert
OPFoodSearch,4257,6848,Celebrity
INCEESWUSTL,418,2533,Expert
WUSTLDC,62,198,Layman
Lewis_Lab,2702,13918,Celebrity
WashUAmateurs,261,337,Expert
WUIRboard,11,2,Layman
skyzone,10483,6070,Celebrity
PHILANTHROPYCCC,276,1322,Expert
josephstromberg,4213,4220,Celebrity
campuspride,11424,22348,Celebrity
KWUR,1389,1815,Celebrity
IslandPressSTL,131,150,Expert
WashUAshoka,102,327,Expert
WomensSocietyWU,123,32,Expert
Schlafly,77841,25762,Celebrity
wuchurn,14,19,Layman
WU_SLam,233,635,Expert
jessicarichman,52906,2850,Celebrity
StLouisAmerican,16897,30415,Celebrity
TheMuny,19301,8685,Celebrity
TedDrewes,2100,1,Celebrity
GatewayArchSTL,9098,8727,Celebrity
DANCE_STL,3313,3958,Celebrity
NPRMichel,61201,13586,Celebrity
SAEWashU,272,167,Expert
MissouriLife,5015,1640,Celebrity
FulbrightSchlrs,28980,9071,Celebrity
IRRT_WUSTL,46,343,Layman
connect4wu,61,186,Layman
wustl_reslife,990,506,Expert
MountVernon,40515,14907,Celebrity
AMCS_WU,467,750,Expert
WashU_PNP,57,105,Layman
fulbrightboard,10467,4757,Celebrity
SeanBiolCarroll,2760,22,Celebrity
WashUNews,164,35,Expert
AsafManela,245,468,Expert
LATeducation,39210,6778,Celebrity
CASEAdvance,15422,12579,Celebrity
HHMINEWS,30240,9244,Celebrity
WashUOUTLaw,204,214,Expert
globalhackHQ,1733,2907,Celebrity
WUFrontiers,47,56,Layman
JohnsHopkins,82627,32747,Celebrity
jessie_assimon,14,0,Layman
Julie_Flory,1307,8209,Celebrity
SparoHealth,506,323,Expert
ThurtenE,664,697,Expert
ArchGrants,10103,4919,Celebrity
MarsRovers,488325,1071,Celebrity
CortexSTL,10796,5157,Celebrity
NotreDame,159517,15798,Celebrity
KuumbaTV,217,483,Expert
studlifesports,608,4791,Expert
ThePageantSTL,52684,15805,Celebrity
HerCampusWashU,646,777,Expert
Do314,9146,10562,Celebrity
PsychScience,64468,9335,Celebrity
UnitedWaySTL,10126,8070,Celebrity
WUSTLTTC,531,1388,Expert
hootsuite,7858127,69145,Celebrity
itenstl,5101,6091,Celebrity
SaintLouCo,11991,7469,Celebrity
stl250,3800,3170,Celebrity
Techli,9061,8249,Celebrity
TheCooksCook,1306295,5143,Celebrity
JodiOkun,70427,150516,Celebrity
MosaicWhispers,208,398,Expert
McCaskillOffice,16394,6461,Celebrity
NASA,32335618,56904,Celebrity
Newsgram,1701,22759,Celebrity
wudm_,677,326,Expert
BernardMarr,122585,32038,Celebrity
WUSTLEngProfEd,168,598,Expert
AmirKurtovic,2786,5177,Celebrity
pomranka,551,6604,Expert
