Screen Name,Follower Count,Total Tweets,Type
Scott_Schroer_,38,0,Layman
TLRHub,5586,10995,Celebrity
amydmcevoy,265,1149,Expert
Eternitylll,6,1,Layman
CarsonRogge,3,0,Layman
laurendhh,1,0,Layman
kristen_kroll,2,0,Layman
ChristAhlmighty,1284,1735,Celebrity
MiriamJoelson,63,84,Layman
fattduffjones,12,3,Layman
NerySantosGomez,10,13,Layman
hoosiercancer,504,1416,Expert
NeryGom14723580,4,176,Layman
WadeLikesLife,34,170,Layman
Jokowidodo5161,14,12,Layman
Aryan87134441,0,3,Layman
ScienceSlamUSA,83,50,Layman
merritt001,120,616,Expert
WaterRK9,4,13,Layman
wang_qk,0,0,Layman
BrandWithSMS,13,11,Layman
melnattur,118,95,Expert
KarenSchwelle,19,17,Layman
hazen_jennie,31,10,Layman
GeneRegLab,26,49,Layman
MJMeister,958,1313,Expert
alliballi14000,28,16,Layman
ekuznick,15,0,Layman
Jeni42001,0,0,Layman
cdtulli,61,24,Layman
stadiaventures,1465,1292,Celebrity
ChristineRCZ,3,5,Layman
kh0mma,0,1,Layman
vanwuri,12,67,Layman
KalenDavison,6,5,Layman
quantumbrands,403,3833,Expert
CorinneRNSTL,15,16,Layman
gsmantube,545,3169,Expert
neuropalmd,559,19,Expert
RoyalBasketTrks,222,339,Expert
LuguLawsonKwame,317,1178,Expert
bogkimn,2,0,Layman
mqevans,5,15,Layman
tarekmd91,390,338,Expert
a_n_g_i_e_s,2,1,Layman
debord_rashaun,71,156,Layman
Jennannstan87,56,13,Layman
sidhujap14,204,77,Expert
RaqibNorth,295,1718,Expert
jessicakuppan,92,69,Layman
MsJB_Biology,12,92,Layman
prestonwillis10,125,402,Expert
ReuJackie,3,2,Layman
IrishEcho,14225,9482,Celebrity
ladytiamoyo,973,5041,Expert
joeyvetti,24,44,Layman
huskyandyasky,4,0,Layman
Thetemple_1,230,53,Expert
LeonardoISAST,2548,2510,Celebrity
LaserTalks,335,430,Expert
JenberlyM,1,30,Layman
onlyandrewn,2307,5120,Celebrity
Nesma_mt,77,70,Layman
babymatryoshka,17,80,Layman
StandforSec,893,1702,Expert
damage_cntrl,13,178,Layman
JamesLi58106930,1,0,Layman
hgilberstadt1,39,5,Layman
J_Greensfelder,15,172,Layman
chirishgirl77_o,6,5,Layman
Ass_linfa,173,422,Expert
Jesusdavila101,4,2,Layman
AndrewJWhite5,30,2,Layman
JackMaranz,1,4,Layman
LizHaefele,100,179,Expert
ArnavGu87909629,1,1,Layman
nateDaSkate45,39,241,Layman
SarahDowney13,45,334,Layman
imroig,466,5333,Expert
_mandooooooo,154,213,Expert
rm2382,31,45,Layman
Yang_x98,0,0,Layman
Boom88265826,74,4272,Layman
eleniandris,1,0,Layman
mkloughran,694,2094,Expert
MollySumridge,60,88,Layman
PerryClements12,8,0,Layman
landstaylor1,5,11,Layman
S_D_Society,2177,2444,Celebrity
Jennife15306871,39,6,Layman
RikPrajapat2,17,70,Layman
blog_edu_abroad,3,32,Layman
hoffarth_jason,19,176,Layman
StlTreats,55,48,Layman
DivyaMe32978782,7,24,Layman
WashUi2,111,56,Expert
kc1jlw,48,977,Layman
HalinaSundling,432,21,Expert
preciseasthma,54,101,Layman
HeatherKeck14,679,1959,Expert
OrtygiaBS,342,649,Expert
Doctor4Africa,621,458,Expert
ashokapol,23,2,Layman
lizzievanes,28,1,Layman
gallomj,18,9,Layman
takaizemidesuyo,473,236,Expert
BoranianJohn,26,2,Layman
PeitzDiaz,3,0,Layman
GaoShichen,0,2,Layman
marcoru89,97,1131,Layman
MaryBle47183695,39,1,Layman
scsportsmanship,283,1497,Expert
AntonioLuk2,1,0,Layman
cheryl_diehl,16,8,Layman
DogmaticEquati1,0,0,Layman
TeresaFloch,300,4671,Expert
fig_house,2,1,Layman
rzarcone,1,3,Layman
Tingtin53002824,0,0,Layman
WhitselAnne,18,7,Layman
izr81,118,671,Expert
shivanij28,11,0,Layman
jtwhittle,14,7,Layman
sacy51,1,0,Layman
JohnViviano,9,33,Layman
mollyrogerss,603,1908,Expert
slaaff,12,7,Layman
sarmila061,6,0,Layman
LaurenAverillMD,72,10,Layman
TRPMumbai,1329,1268,Celebrity
ToddBeatty57,146,74,Expert
MrMPeaks,138,308,Expert
miyakohallier,13,1,Layman
fueledbylaunch,829,1244,Expert
rachelwhitmoyer,12,11,Layman
cmsorrell09,135,1535,Expert
Roger__95,7,2,Layman
mabufeng,147,0,Expert
j12_alice,59,95,Layman
tsichend,7,0,Layman
BetsyBPace,13,85,Layman
avoutsource,95,511,Layman
LisaMatheson20,14,15,Layman
ivychatbot,75,177,Layman
ejfourni,167,908,Expert
ISoulaymane,0,0,Layman
Hope13248352,669,2424,Expert
AngelaMickle1,17,5,Layman
zJennie76,3,1,Layman
Catchuprobyn60,1,235,Layman
Boris09189408,3,7,Layman
AbhiBha28703748,17,3261,Layman
gwengklein,305,470,Expert
silvergirl2588,18,14,Layman
renitamongo,0,1,Layman
odarwazah,501,864,Expert
sun3332016,43,10,Layman
patrickjflyers,0,0,Layman
kandle_rob,3,8,Layman
MelV_77,22,11,Layman
theJustinWaters,135,670,Expert
gardenhart619,6,0,Layman
ApplicationDocs,467,41,Expert
ShaileshCBRaval,47,42,Layman
EmilyFilmore,369,1093,Expert
UCSDfacaffairs,219,83,Expert
TherrienLeon,5,0,Layman
PhilipCDenton,13,19,Layman
helenkaul1,1,0,Layman
QingyunTristan,265,75,Expert
quinndaul,186,849,Expert
Diana_Garza_,327,412,Expert
_glab_,0,0,Layman
athulsagar,70,96,Layman
FithiAndom,451,1864,Expert
scientistleo,87,190,Layman
KaanDincer11,1,0,Layman
Pevitz_97,530,3797,Expert
Vikas_R_D,414,370,Expert
dukeBJ,29,93,Layman
Rashed_legal,9,51,Layman
DavidSchwister,58,49,Layman
stephwhet,79,630,Layman
DjaffarKarim,19,0,Layman
EmilyPDowdle,29,9,Layman
JocelynSeagrave,442,575,Expert
ArchMedicine,797,186,Expert
WorsMaxwell,52,0,Layman
Alan__Yam,70,554,Layman
robertmudra,378,531,Expert
OrgStratProf,2664,1445,Celebrity
ZitoJacob,42,129,Layman
VictorTran1234,0,1228,Layman
duboisfurniture,221,792,Expert
MichaelKinch,387,633,Expert
RobertL11140749,105,272,Expert
christianbhenry,58,114,Layman
NadiaRuiz26,34,19,Layman
Caitlin57118304,0,0,Layman
akates1,546,330,Expert
Doc_Tewari,19,72,Layman
lsmith_04,8,2,Layman
GervasiLawrence,31,36,Layman
thermophila,185,380,Expert
LaxmiKirola,4,2,Layman
vkalil2,10,79,Layman
jaydlugin,313,7553,Expert
jessicakcissell,14,0,Layman
kxdxst,63,231,Layman
moreland_edu,11,5,Layman
GCLTrinidad,30,36,Layman
BransonPipko39,119,220,Expert
ramaromp,15,87,Layman
aaron_beamer,2,14,Layman
rmdave7,20,0,Layman
STLSnowCone,471,7292,Expert
